#DroneDeploy	2.75.0
#Flight Recorder
Session ID	5b15bcec1fae218a83b7e76a
Session Start	06/04/2018 22:29:00
#Device
Device Model	iPhone
Device User Interface Idiom	iPhone	0
Device Operating System	iOS	11.4
Device SSID
#Aircraft
Aircraft Model	Inspire 1 Pro
Aircraft Name	inspire pro
Aircraft Firmware	1.11.01.50
#Aircraft Battery
Full Charge Volume (mAh)	4287
Remaining Life (%)	83
Discharges	69
#Components
Battery Cells Number	6
Battery Serial Number	5381145250473
Battery Firmware	03.09.00.00
Flight Controller Serial Number
Flight Controller Firmware	02.04.20.50
Gimbal Firmware	01.31.01.67
Remote Control Serial Number	03LL264834
Remote Control Firmware	1.2.0.17
Camera Serial Number
Date/Time (UTC)	Elapsed Time (sec)	Info	Device Latitude (Degrees)	Device Longitude (Degrees)	Device Location Last Updated (ms)	Aircraft Battery Power (%)	Aircraft Battery Charge (mAh)	Aircraft Battery Current (mA)	Aircraft Battery Voltage (mV)	Aircraft Battery Temperature (Fahrenheit)	Aircraft Battery Last Updated (ms)	Aircraft Battery Cell 1 Voltage	Aircraft Battery Cell 2 Voltage	Aircraft Battery Cell 3 Voltage	Aircraft Battery Cell 4 Voltage	Aircraft Battery Cell 5 Voltage	Aircraft Battery Cell 6 Voltage	Aircraft Battery Cell Voltage Last Updated (ms)	Aircraft Latitude (Degrees)	Aircraft Longitude (Degrees)	Aircraft Speed (mph)	Aircraft Barometric Altitude (ft)	Aircraft Heading (Degrees)	Aircraft Vel - X (mph)	Aircraft Vel - Y (mph)	Aircraft Vel - Z (mph)	Aircraft Pitch (Degrees)	Aircraft Roll (Degrees)	Aircraft Satellites	Aircraft Motors On	Aircraft Flying	Aircraft Flight Mode	Aircraft Flight Mode Value	Aircraft IMU Preheating	Aircraft Ultrasonic On	Aircraft Ultrasonic Altitude (ft)	Aircraft Vision On	Aircraft GPS Signal	Aircraft GPS Signal Value	Aircraft No-fly	Aircraft No-fly Value	Aircraft No-fly Latitude (Degrees)	Aircraft No-fly Longitude (Degrees)	Aircraft No-fly Radius (ft)	Home Latitude (Degrees)	Home Longitude (Degrees)	Aircraft Smart Go-home Flight Time Remaining (sec)	Aircraft Smart Go-home Flight Return Time (sec)	Aircraft Smart Go-home Landing Time (sec)	Aircraft Smart Go-home Return Power (%)	Aircraft Smart Go-home Landing Power (%)	Aircraft Smart Go-home Radius (ft)	Aircraft Smart Go-home Countdown (sec)	Aircraft Smart Go-home Requesting	Aircraft System State Last Updated (ms)	Gimbal Pitch (Degrees)	Gimbal Roll (Degrees)	Gimbal Yaw (Degrees)	Gimbal Mode	Gimbal Mode Value	Gimbal Pitch at Stop	Gimbal Roll at Stop	Gimbal Yaw at Stop	Gimbal Status Last Updated (ms)	Landing Gear is Movable	Landing Gear Status	Landing Gear Status Value	Landing Gear Mode	Landing Gear Mode Value	Landing Gear Last Updated (ms)	RC State	RC State Value	RC Left Horizontal	RC Left Vertical	RC Right Horizontal	RC Right Vertical	RC Left Wheel	RC Right Wheel	RC Landing Gear	RC Landing Gear Value	RC Go Home	RC Record 	RC Shutter	RC Playback	RC Pause	RC Custom 1	RC Custom 2	RC State Last Updated (ms)	RC Battery (%)	RC Battery State Last Updated (ms)	RC Sattelites	RC Horizontal Accuaracy (ft)	RC Latitude (Degrees)	RC Longitude (Degrees)	RC GSP Data is Valid	RC GPS State Last Updated (ms)	RC Signal 1	RC Signal 2	RC Signal Last Updated (ms)	LB Signal 1	LB Signal 2	LB Signal Last Updated (ms)	Aircraft Camera Mode	Aircraft Camera Mode Value	Aircraft Camera Overheated	Aircraft Camera Sensor Error	Aircraft Camera Recording	Aircraft Camera Raw Capture	Aircraft Camera Interval Capture	Aircraft Camera Burst Capture	Aircraft Camera Single Capture	Aircraft Camera Storing Photo	Aircraft Camera State Last Updated (ms)	Aircraft Camera SD Card Exists	Aircraft Camera SD Card Remaining (%)	Aircraft Camera SD Card State Last Updated (ms)	Aircraft Camera Changeable Lens Supported	Aircraft Camera Lens Installed	Aircraft Camera Lens Type	Aircraft Camera Lens AF Enabled	Aircraft Camera Lens Focus Mode	Aircraft Camera Lens Focus Mode Value	Aircraft Camera Lens Focus Status	Aircraft Camera Lens Focus Status Value	Aircraft Camera Lens MF Assistant	Aircraft Camera Lens AF Assistant	Aircraft Camera Lens Assistant Working	Aircraft Camera Lens State Last Updated (ms)	Device > Aircraft Distance - XY (ft)
06/04/2018 22:30:31	90.713		37.77177978532367	-122.4074720564078	90710	88	3772	-16544	22276	87	500	3712	3700	3719	3720	3719	3744	0	37.77178734402646	-122.4072508822927	4.032704	68.24147	-41.5	2.236942	-3.355413	0.6710826	-5.7	-0.4	17	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	85	-90	0	-40.09999847412109	Yaw Follow	2	0	0	0	86	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	86	89	995	8	3.543307	37.7717696	-122.4074496	1	801	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	86	1	98.9612	86	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	63.99059787747652
06/04/2018 22:30:31	90.813		37.77177978532367	-122.4074720564078	90810	88	3772	-12990	22504	87	88	3712	3700	3719	3720	3719	3744	0	37.77178837716797	-122.4072523764964	4.160953	68.24147	-41.3	2.460636	-3.355413	0.6710826	-5.7	0.1	17	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	87	-89.90000152587891	0	-40.20000076293945	Yaw Follow	2	0	0	0	88	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	88	89	88	8	3.543307	37.7717696	-122.4074496	1	900	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	88	1	98.95792	88	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	63.57649745251277
06/04/2018 22:30:31	90.918		37.77177978532367	-122.4074720564078	90915	88	3772	-12990	22504	87	194	3712	3700	3719	3720	3719	3744	105	37.77178950418478	-122.4072539429562	4.160953	68.24147	-41.2	2.460636	-3.355413	0.8947768	-5.5	0.2	17	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	60	-89.90000152587891	0	-40.20000076293945	Yaw Follow	2	0	0	0	62	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	62	89	194	8	3.543307	37.7717696	-122.4074496	1	1006	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	61	1	98.95465	61	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	63.1459292712572
06/04/2018 22:30:31	91.013		37.77177978532367	-122.4074720564078	91009	88	3772	-12990	22504	87	288	3712	3700	3719	3720	3719	3744	0	37.77179074755164	-122.4072555688386	4.297025	68.24147	-41.5	2.68433	-3.355413	0.8947768	-4.7	0	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	66	-89.90000152587891	0	-40.20000076293945	Yaw Follow	2	0	0	0	67	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	67	89	288	8	3.543307	37.7717696	-122.4074496	1	67	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	66	1	98.95465	66	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	62.70390037564697
06/04/2018 22:30:31	91.114		37.77177978532367	-122.4074720564078	91111	88	3772	-12990	22504	87	389	3712	3700	3719	3720	3719	3744	0	37.77179187039118	-122.4072572646085	4.124717	68.24147	-41.90000000000001	2.68433	-3.131719	0.8947768	-4.100000000000001	-0.7000000000000001	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	66	-89.90000152587891	0	-40.20000076293945	Yaw Follow	2	0	0	0	67	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	67	89	390	8	3.543307	37.7717696	-122.4074496	1	168	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	66	1	98.95137	66	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	62.24230489720209
06/04/2018 22:30:31	91.213		37.77177978532367	-122.4074720564078	91210	88	3729	-12990	22504	87	67	3771	3760	3752	3748	3780	3749	0	37.77179314498413	-122.4072585098393	4.124717	68.24147	-41.90000000000001	2.68433	-3.131719	1.118471	-3	-1.6	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	67	-89.90000152587891	0	-40.29999923706055	Yaw Follow	2	0	0	0	68	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	67	89	488	8	3.543307	37.7717696	-122.4074496	1	267	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	165	1	98.95137	165	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	61.91800889463379
06/04/2018 22:30:31	91.313		37.77177978532367	-122.4074720564078	91310	88	3729	-12990	22504	87	168	3771	3760	3752	3748	3780	3749	0	37.77179426948026	-122.4072601478677	4.124717	68.24147	-41.8	2.68433	-3.131719	0.8947768	-3.2	-1.7	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	43	-89.90000152587891	0	-40.29999923706055	Yaw Follow	2	0	0	0	45	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	43	89	589	8	3.543307	37.7717696	-122.4074496	1	367	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	44	1	98.94482	44	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	61.47977963625179
06/04/2018 22:30:31	91.413		37.77177978532367	-122.4074720564078	91410	88	3729	-12990	22504	87	268	3771	3760	3752	3748	3780	3749	0	37.77179556971586	-122.4072614327485	4.124717	67.91339	-41.8	2.68433	-3.131719	0.8947768	-4.600000000000001	-2.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	57	-89.90000152587891	0	-40.40000152587891	Yaw Follow	2	0	0	0	59	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	52	89	689	8	3.543307	37.7717696	-122.4074496	1	467	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	57	1	98.94154	57	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	61.15244171588177
06/04/2018 22:30:31	91.514		37.77177978532367	-122.4074720564078	91511	88	3729	-12990	22504	87	368	3771	3760	3752	3748	3780	3749	0	37.77179673791913	-122.4072627520911	3.957554	68.24147	-41.8	2.68433	-2.908024	0.6710826	-5.9	-2.4	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	27	-90	0	-40.40000152587891	Yaw Follow	2	0	0	0	27	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	27	89	789	8	3.543307	37.7717696	-122.4074496	1	568	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	28	1	98.94154	28	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	60.81448711680785
06/04/2018 22:30:32	91.613		37.77177978532367	-122.4074720564078	91610	88	3729	-12990	22504	87	467	3771	3760	3752	3748	3780	3749	0	37.77179792185503	-122.4072642097955	3.957554	68.24147	-41.7	2.68433	-2.908024	0.8947768	-6.800000000000001	-2.8	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	38	-90	0	-40.5	Yaw Follow	2	0	0	0	38	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	38	89	889	8	3.543307	37.7717696	-122.4074496	1	667	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	39	1	98.94154	39	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	60.44091155543162
06/04/2018 22:30:32	91.713		37.77177978532367	-122.4074720564078	91710	88	3729	-12990	22504	87	31	3771	3760	3752	3748	3780	3749	0	37.77179901408889	-122.4072657860693	3.957554	68.24147	-41.7	2.68433	-2.908024	0.6710826	-6.800000000000001	-3.3	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	31	-90	0	-40.5	Yaw Follow	2	0	0	0	27	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	27	89	27	8	3.543307	37.7717696	-122.4074496	1	768	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	0	27	1	98.94154	27	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	60.03312150053593
06/04/2018 22:30:32	91.813		37.77177978532367	-122.4074720564078	91810	88	3729	-12990	22504	87	131	3771	3760	3752	3748	3780	3749	0	37.77180002894274	-122.4072672124673	3.809375	68.24147	-41.8	2.460636	-2.908024	0.8947768	-7.100000000000001	-3.4	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	790	1	6	15	10	11018	0	0	22	-90	0	-40.59999847412109	Yaw Follow	2	0	0	0	22	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	22	89	127	8	3.543307	37.7717696	-122.4074496	1	868	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	0	127	1	98.94154	127	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	59.66817711815217
06/04/2018 22:30:32	91.913		37.77177978532367	-122.4074720564078	91910	88	3729	-12990	22504	87	230	3771	3760	3752	3748	3780	3749	0	37.77180119162708	-122.4072686782374	4.124717	68.24147	-41.8	2.68433	-3.131719	0.8947768	-7.9	-3.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	26	-89.90000152587891	0	-40.59999847412109	Yaw Follow	2	0	0	0	26	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	26	89	227	8	3.543307	37.7717696	-122.4074496	1	26	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	0	26	1	98.94154	26	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	59.30192509036215
06/04/2018 22:30:32	92.013		37.77177978532367	-122.4074720564078	92010	88	3729	-12990	22504	87	330	3771	3760	3752	3748	3780	3749	0	37.77180119162708	-122.4072686782374	4.124717	68.24147	-41.8	2.68433	-3.131719	0.8947768	-7.9	-3.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	125	-89.90000152587891	0	-40.59999847412109	Yaw Follow	2	0	0	0	26	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	26	89	326	8	3.543307	37.7717696	-122.4074496	1	125	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	26	1	98.94154	26	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	59.30192509036215
06/04/2018 22:30:32	92.123		37.77177978532367	-122.4074720564078	92120	88	3729	-12990	22504	87	440	3771	3760	3752	3748	3780	3749	110	37.77180344136317	-122.4072720776336	4.124717	67.91339	-42	2.68433	-3.131719	0.8947768	-6.800000000000001	-2.4	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	19	-89.90000152587891	0	-40.59999847412109	Yaw Follow	2	0	0	0	18	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	18	89	437	8	3.543307	37.7717696	-122.4074496	1	236	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	18	1	98.94154	18	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	58.44310693582974
06/04/2018 22:30:32	92.213		37.77177978532367	-122.4074720564078	92210	87	3729	-11918	22685	87	21	3792	3776	3772	3780	3783	3771	0	37.77180458977576	-122.4072740464106	4.297025	67.91339	-42.1	2.68433	-3.355413	0.8947768	-6.100000000000001	-1.5	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	21	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	21	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	21	89	526	8	3.543307	37.7717696	-122.4074496	1	325	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	21	1	98.94154	21	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.94401452535403
06/04/2018 22:30:32	92.313		37.77177978532367	-122.4074720564078	92310	87	3729	-11918	22685	87	122	3792	3776	3772	3780	3783	3771	0	37.77180567662343	-122.4072758235671	4.160953	67.91339	-42.3	2.460636	-3.355413	0.8947768	-4.800000000000001	-0.6000000000000001	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	26	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	26	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	25	89	627	8	3.543307	37.7717696	-122.4074496	1	426	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	25	1	98.94154	25	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.50022246303543
06/04/2018 22:30:32	92.413		37.77177978532367	-122.4074720564078	92410	87	3729	-11918	22685	87	222	3792	3776	3772	3780	3783	3771	0	37.77180681003049	-122.4072777755438	4.160953	67.91339	-42.2	2.460636	-3.355413	0.8947768	-3.4	0.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	19	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	125	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	19	89	727	8	3.543307	37.7717696	-122.4074496	1	526	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	125	1	98.94154	125	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.01349536789594
06/04/2018 22:30:32	92.514		37.77177978532367	-122.4074720564078	92511	87	3729	-11918	22685	87	322	3792	3776	3772	3780	3783	3771	0	37.77180681003049	-122.4072777755438	4.160953	67.91339	-42.2	2.460636	-3.355413	0.8947768	-3.4	0.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	119	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	15	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	15	89	827	8	3.543307	37.7717696	-122.4074496	1	626	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	1	1	225	1	98.94154	225	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.01349536789594
06/04/2018 22:30:33	92.613		37.77177978532367	-122.4074720564078	92610	87	3729	-11918	22685	87	422	3792	3776	3772	3780	3783	3771	0	37.77180681003049	-122.4072777755438	4.160953	67.91339	-42.2	2.460636	-3.355413	0.8947768	-3.4	0.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	219	-90	0	-40.70000076293945	Yaw Follow	2	0	0	0	11	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	10	89	927	8	3.543307	37.7717696	-122.4074496	1	726	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	10	1	98.94154	10	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.01349536789594
06/04/2018 22:30:33	92.714		37.77177978532367	-122.4074720564078	92711	87	3729	-11918	22685	87	16	3792	3776	3772	3780	3783	3771	0	37.77180681003049	-122.4072777755438	4.160953	67.91339	-42.2	2.460636	-3.355413	0.8947768	-3.4	0.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	319	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	16	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	15	89	16	8	3.543307	37.7717696	-122.4074496	1	826	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	110	1	98.94154	110	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.01349536789594
06/04/2018 22:30:33	92.813		37.77177978532367	-122.4074720564078	92810	87	3729	-11918	22685	87	115	3792	3776	3772	3780	3783	3771	0	37.77180681003049	-122.4072777755438	4.160953	67.91339	-42.2	2.460636	-3.355413	0.8947768	-3.4	0.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	419	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	115	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	115	89	116	8	3.543307	37.7717696	-122.4074496	1	926	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	210	1	98.94154	210	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	57.01349536789594
06/04/2018 22:30:33	92.913		37.77177978532367	-122.4074720564078	92910	87	3729	-11918	22685	87	215	3792	3776	3772	3780	3783	3771	0	37.77181137495249	-122.4072851667593	4.440203	68.24147	-41.8	2.908024	-3.355413	0.4473884	-6.7	2.1	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	58	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	58	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	58	89	215	8	3.543307	37.7717696	-122.4074496	1	1025	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	58	1	98.93826	58	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	55.23247005913309
06/04/2018 22:30:33	93.013		37.77177978532367	-122.4074720564078	93010	87	3729	-11918	22685	87	315	3792	3776	3772	3780	3783	3771	0	37.77181398716073	-122.4072886358099	4.273671	68.24147	-42	2.908024	-3.131719	0.8947768	-4.600000000000001	1.3	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone Airport	0	0	0	0	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	0	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	86	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	86	89	315	8	3.543307	37.7717696	-122.4074496	1	86	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	86	1	98.93498	86	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	54.06383162304855
06/04/2018 22:30:33	93.113		37.77177978532367	-122.4074720564078	93110	87	3729	-11918	22685	87	415	3792	3776	3772	3780	3783	3771	0	37.77181536827617	-122.4072904708655	4.273671	68.24147	-41.90000000000001	2.908024	-3.131719	1.118471	-3.8	1.2	16	1	1	F-WP	14	0	0	83.66142	0	Very Strong	5	Fly Zone ClassB Air Space	16	37.63616943359375	-122.3730926513672	55849	37.77182571595883	-122.4073950495943	784	1	6	15	10	10945	0	0	99	-89.90000152587891	0	-40.70000076293945	Yaw Follow	2	0	0	0	99	1	Retracted	2	Auto	2	0	1	0	0	0	0	0	0	0	Retract	0	0	0	0	0	0	0	0	99	89	415	8	3.543307	37.7717696	-122.4074496	1	186	N/A	N/A	No Data	N/A	N/A	No Data	Shoot Photo	0	0	0	0	0	1	0	0	1	186	1	98.93498	186	1	0	Unknown	0	Manual	0	Idle	0	0	0	0	No Data	54.06383162304855
